Date,Ad_name,Brand_Name,Languange,Funnel_Type,Convertions_Objective,Targeting_Type,Ads_Set,Format,Key_Message,Ads_Element,Amount_spent,Purchase_ZLP,Purchase_ZLF,SignUp,Landing_page_views,Link_clicks,Impressions,Reach
4/19/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,THR,image B,40518,0,0,0,2,2,458,406
4/20/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,THR,image B,100507,0,0,0,14,17,2306,2050
4/21/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,THR,image B,78513,0,0,1,9,8,1417,1274
4/22/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,THR,image B,3679,0,0,0,1,1,49,48
4/15/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,87,0,0,0,0,0,4,4
4/16/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,3223,0,0,0,0,0,31,28
4/17/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,1126,0,0,0,0,0,18,15
4/18/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,1232,0,0,1,1,1,26,25
4/19/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,7255,0,0,0,3,3,69,61
4/20/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,13840,0,0,0,3,3,216,190
4/21/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,36012,0,0,0,6,7,654,577
