Date,Ad_name,Brand_Name,Languange,Funnel_Type,Convertions_Objective,Targeting_Type,Ads_Set,Format,Key_Message,Ads_Element,Platform,Placement,Amount_spent,Purchase_ZLP,Purchase_ZLF,SignUp,Landing_page_views,Link_clicks,Impressions,Reach
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,THR,image B,instagram,instagram_stories,58173,,,2,11,10,1221,1122
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,166290,,,3,27,29,2041,1862
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,instagram_reels,39970,,,1,10,10,885,861
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,instagram_reels,52154,,,1,15,16,1153,1131
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,105582,1,,2,15,17,958,914
4/17/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,106339,,,,15,15,1755,1695
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,137453,,,4,41,42,2834,2724
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,117283,,,1,22,25,2158,2042
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,63370,,,2,14,16,1421,1385
4/21/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,74253.06836,,,3,18,20,1896,1840
4/16/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,79754,,,2,19,22,981,941
4/17/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,101181,,,,20,20,2488,2399
4/18/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,118255,,,,20,23,3167,3059
4/19/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,100170,,1,1,17,18,2439,2374
4/21/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,74031,,,2,15,17,2141,2086
4/15/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,67293,,,1,11,13,612,582
4/16/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,53894,,,,11,12,543,522
4/17/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,53395,,,,12,16,1023,971
4/18/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,64857,,,,18,16,1689,1622
2/26/2023,Zurich ZLF_id_tf_wc_bd_Broad IG_vid_20K dapat apa?_Interview_RevoU_20022023,Zurich ZLF,id,tf,wc,bd,Broad IG,vid,20K dapat apa?,Interview,instagram,feed,126493,,,1,12,11,1248,1157
3/1/2023,Zurich ZLF_id_tf_wc_bd_Broad IG_vid_20K dapat apa?_Interview_RevoU_20022023,Zurich ZLF,id,tf,wc,bd,Broad IG,vid,20K dapat apa?,Interview,instagram,feed,81741,1,1,4,12,13,1061,1001
3/10/2023,Zurich ZLF_id_tf_wc_bd_Broad IG_vid_20K dapat apa?_Interview_RevoU_20022023,Zurich ZLF,id,tf,wc,bd,Broad IG,vid,20K dapat apa?,Interview,instagram,instagram_reels,43401,,,2,10,11,1123,1093
3/19/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,40441,,,1,11,12,656,645
3/27/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,46724,,,,10,11,988,971
3/29/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,92327,,,1,13,16,1907,1871
3/30/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,95011,,,1,14,20,2488,2446
3/31/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,100900,,,2,15,16,2072,2029
4/22/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,76068,,,2,16,21,1865,1796
4/24/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,43785,,,,11,11,1027,1019
4/28/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,70461,,,,10,14,1289,1196
4/30/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,98084.66147,,,,10,14,1596,1501
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,148433,,,1,330,1015,12257,11468
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,21936,,,,46,149,891,848
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,116311,,,,299,837,13495,12620
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,71182,,,,224,496,2618,2124
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,57730,,,,149,392,5474,5206
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,98024,,,1,255,604,4430,3802
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,46455,,,,128,269,2602,2484
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,108059,,,,266,765,4837,4174
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,56868,,,,164,393,2828,2732
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,66386,,,1,181,526,3338,3080
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,49992,,,1,178,385,2517,2343
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,12536,,,,37,103,617,570
12/16/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,98420,,,,307,664,4735,4370
12/16/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,16281,,,,50,119,929,840
12/17/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,97418,,,,315,712,5198,4954
12/17/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,24347,,,,73,169,1332,1200
12/18/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,86291,,,,288,601,4414,4022
12/18/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,44837,,,1,145,470,2867,2594
12/19/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,88917,,,,275,589,4275,3900
12/19/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,40551,,,,103,324,2194,2066
12/20/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,93004,,,,278,612,4091,3742
12/20/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,50570,,,,136,387,2771,2508
12/21/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,95123,,,,272,627,4243,3944
12/21/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,41988,,,,119,351,2395,2294
12/22/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,97140,,,,243,570,4099,3974
12/22/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,38907,,,,85,293,2298,2160
12/23/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,87769,,,,243,499,3373,3198
12/23/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,30721,,,,72,198,1726,1598
12/24/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,116809,,,,338,689,4225,3990
12/24/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,42630,,,,101,304,2145,2012
12/25/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,129699,,,,347,770,4660,4512
12/25/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,67055,,,,156,485,3737,3558
12/26/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,188144,,,,475,1026,6183,5960
12/26/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,82381,,,,234,595,3945,3544
12/27/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,186739,,,,442,1041,6583,6492
12/27/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,77473,,,,203,576,4308,3952
12/28/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,187754,,,,430,1018,6817,6556
12/28/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,72026,,,,184,507,3568,3276
12/29/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,176043,,,,446,968,6137,6030
12/29/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,marketplace,1501,,,,11,21,398,384
12/29/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,75298,,,,177,476,3445,3172
12/30/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,153051,,,,261,705,7095,6190
12/30/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,46625,,,,79,336,2935,2734
12/31/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,147411,,,,243,718,8225,7672
12/31/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,27420,,,,42,116,1576,1372
1/1/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,48830,,,,94,279,4222,3844
1/1/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,112690,,,,222,648,7867,7144
1/1/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,instream_video,5112,,,,15,30,2905,2905
1/2/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,instream_video,4676,,,,18,28,2295,2295
1/2/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,38405,,,,89,232,3614,3128
1/2/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,98765,,,1,192,591,7671,7100
1/3/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,instream_video,5660,,,,13,29,2554,2520
1/3/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,30171,,,,62,196,3474,3252
1/3/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,105325,,,,217,682,9037,8296
1/4/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,instream_video,3916,,,,12,19,855,852
1/4/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,94256,,,,174,583,7803,6976
1/4/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,37142,,,,77,234,3633,3364
1/5/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,81968.52056,,,,79,408,10919,10677
1/5/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,video_feeds,28043.86236,,,,28,118,2174,2168
1/6/2023,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,facebook,feed,90,,,2,12,,43,42
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,feed,104394,,,,17,18,1431,1336
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,instagram_reels,41976,,,2,13,13,951,931
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,feed,80778,,,,10,10,787,757
4/17/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,feed,102877,,,2,21,24,1829,1771
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,feed,116505,,,2,30,30,2516,2430
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,feed,103145,,,,14,14,1634,1572
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,feed,50747,,,2,10,9,1341,1313
4/21/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,Ramadhan,image A,instagram,feed,68425,,,2,16,16,1685,1648
4/15/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,Ramadhan,image A,instagram,feed,171544,,,,11,11,749,551
4/27/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Beli Asuransi Jiwa 25K_Woman Music_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Beli Asuransi Jiwa 25K,Woman Music,instagram,feed,53781,,1,4,13,13,836,826
3/9/2023,Zurich ZLF_id_tf_wc_sd_Healthcare_vid_Premi cuma 20K_Cinderella Sound_RevoU_08032023,Zurich ZLF,id,tf,wc,sd,Healthcare,vid,Premi cuma 20K,Cinderella Sound,instagram,feed,144035,,,1,13,13,2784,2648
